iter	MultiClass
0	2.47977171
1	2.417447545
2	2.368439976
3	2.319797455
4	2.282323488
5	2.255393098
6	2.223889648
7	2.197610635
8	2.178581731
9	2.155441577
10	2.139633838
11	2.121446711
12	2.10564298
13	2.089420352
14	2.076427793
15	2.06518827816	1.960299441
17	1.946090185
18	1.932631744
19	1.925338546
20	1.912586564
21	1.900842845
22	1.892706741
23	1.882133176
24	1.870102095
25	1.862628306
26	1.857321767
27	1.848942241
28	1.841256745
29	1.833044032
30	1.826395886
31	1.820371614
32	1.814024595
33	1.810044383
34	1.800794435
35	1.795663085
36	1.789282323
37	1.781167118
38	1.777384071
39	1.773110885
40	1.767686971
41	1.762597313
42	1.758038144
43	1.752902741
44	1.748892749
45	1.742828939
46	1.738901222
47	1.735352913
48	1.732519601
49	1.728537924
50	1.724841568
51	1.72151576
52	1.717060365
53	1.707647754
54	1.704121804
55	1.701538525
56	1.696553932
57	1.693945561
58	1.688466026
59	1.684891387
60	1.681687394
61	1.680230773
62	1.676995738
63	1.674744309
64	1.671701367
65	1.668951927
66	1.665112082
67	1.661605615
68	1.659063754
69	1.653784539
70	1.649211551
71	1.644824333
72	1.640736723
73	1.636875114
74	1.634660868
75	1.631959233
76	1.627083591
77	1.624578454
78	1.621970491
79	1.618748345
80	1.613515613
81	1.610379888
82	1.607627657
83	1.604975058
84	1.602914122
85	1.599727113
86	1.597249001
87	1.593753455
88	1.590664687
89	1.587334936
90	1.583768719
91	1.580103413
92	1.578158104
93	1.574833362
94	1.572828411
95	1.569448711
96	1.567023398
97	1.563280132
98	1.560408696
99	1.555206488
100	1.552556233
101	1.546450036
102	1.54316748
103	1.540085365
104	1.53655245
105	1.532852267
106	1.527894356
107	1.525170123
108	1.520986013
109	1.516725677
110	1.514089287
111	1.509308112
112	1.506994952
113	1.503987474
114	1.500581621
115	1.496098742
116	1.492677888
117	1.489112358
118	1.485442544
119	1.480272458
120	1.476676407
121	1.473639891
122	1.470649758
123	1.467863153
124	1.464410351
125	1.461342766
126	1.458264729
127	1.455578519
128	1.451494019
129	1.446783401
130	1.442966234
131	1.440627798
132	1.437289644
133	1.433693557
134	1.430865561
135	1.427080884
136	1.424060582
137	1.421074897
138	1.418670346
139	1.415260585
140	1.411692812
141	1.408079367
142	1.404871138
143	1.401582865
144	1.398047288
145	1.394622463
146	1.391235967
147	1.388902548
148	1.386441211
149	1.384323184
150	1.382119542
151	1.379885288
152	1.376915412
153	1.373533845
154	1.370476351
155	1.367477277
156	1.364531596
157	1.361669234
158	1.358520914
159	1.356496392
160	1.353448308
161	1.350655458
162	1.347837755
163	1.345845793
164	1.343579193
165	1.341221568
166	1.338251354
167	1.336263265
168	1.333141316
169	1.330340692
170	1.327193778
171	1.325129203
172	1.322336789
173	1.320201769
174	1.318121721
175	1.315034987
176	1.312631747
177	1.310192248
178	1.30770138
179	1.305768746
180	1.303381277
181	1.301559865
182	1.298750157
183	1.297002608
184	1.294177371
185	1.292468985
186	1.290113946
187	1.287626458
188	1.285096997
189	1.283239618
190	1.280843535
191	1.277982724
192	1.275284352
193	1.273275563
194	1.270635314
195	1.267827755
196	1.265034283
197	1.263153058
198	1.260914678
199	1.258795699
200	1.256316906
201	1.253497031
202	1.251743595
203	1.249555231
204	1.247930442
205	1.246104243
206	1.244076192
207	1.241658806
208	1.239148057
209	1.237388707
210	1.235456501
211	1.23334589
212	1.231197297
213	1.22948755
214	1.22739046
215	1.225599473
216	1.223627712
217	1.222084994
218	1.220172519
219	1.217689854
220	1.2159224
221	1.214052917
222	1.212580784
223	1.211175732
224	1.209598592
225	1.207414955
226	1.205276711
